"Dimensao","Repeticao","Configuracao","Fbest"
2,1,"Config1",4.71908097327742
2,1,"Config2",72.8349503438675
2,2,"Config1",1.52638196934175
2,2,"Config2",0.668521144690042
2,3,"Config1",3.27692727518728
2,3,"Config2",60.602907479795
2,4,"Config1",4.37095837835758
2,4,"Config2",14.8670936070088
2,5,"Config1",3.19600211709917
2,5,"Config2",44.3847381213305
2,6,"Config1",5.88248862907625
2,6,"Config2",5.44551424301438
2,7,"Config1",13.626244911442
2,7,"Config2",6.17678907098574
2,8,"Config1",0.606094313820565
2,8,"Config2",4.70305089553799
2,9,"Config1",4.12482581231697
2,9,"Config2",0.0160567859099485
2,10,"Config1",8.09360393787855
2,10,"Config2",5.63377185780362
7,1,"Config1",0.815511236357695
7,1,"Config2",502.148973087815
7,2,"Config1",0.00302791847165388
7,2,"Config2",881.097008967942
7,3,"Config1",1.59828304728345
7,3,"Config2",349.125644871015
7,4,"Config1",0.972791633884485
7,4,"Config2",87.2796331752578
7,5,"Config1",1.99200396228561
7,5,"Config2",664.417787783463
7,6,"Config1",1.48418680991316
7,6,"Config2",135.724500840558
7,7,"Config1",2.22822448497173
7,7,"Config2",472.537906684763
7,8,"Config1",1.4452850404279
7,8,"Config2",1049.49172485997
7,9,"Config1",1.06730962076514
7,9,"Config2",142.513342241709
7,10,"Config1",0.648526613838149
7,10,"Config2",2898.41834333702
13,1,"Config1",10.6161092005818
13,1,"Config2",22586.6274421997
13,2,"Config1",11.0264152733581
13,2,"Config2",5319.28591422016
13,3,"Config1",9.4486737245848
13,3,"Config2",12423.6733501006
13,4,"Config1",10.0267750973236
13,4,"Config2",15840.094931696
13,5,"Config1",10.0624106141473
13,5,"Config2",42160.6581616394
13,6,"Config1",10.936657601005
13,6,"Config2",29891.7872696153
13,7,"Config1",10.8442710902437
13,7,"Config2",20575.5661643655
13,8,"Config1",10.3759470989387
13,8,"Config2",21365.1476144769
13,9,"Config1",10.5701602404766
13,9,"Config2",6871.032843057
13,10,"Config1",11.5582413898349
13,10,"Config2",28088.0207425925
18,1,"Config1",37.6122163339105
18,1,"Config2",158555.497364186
18,2,"Config1",24.3041356915205
18,2,"Config2",17778.5887848475
18,3,"Config1",24.9096516553368
18,3,"Config2",48508.9306064832
18,4,"Config1",31.5998977187401
18,4,"Config2",100341.005024253
18,5,"Config1",23.5657919927905
18,5,"Config2",20946.621463767
18,6,"Config1",24.2203262150866
18,6,"Config2",20193.1789950084
18,7,"Config1",26.7715292500696
18,7,"Config2",102197.090411656
18,8,"Config1",25.365351455104
18,8,"Config2",73889.2442440882
18,9,"Config1",23.8525716755359
18,9,"Config2",29990.4614709954
18,10,"Config1",28.8898239822847
18,10,"Config2",77999.8450363776
24,1,"Config1",55.6300216979039
24,1,"Config2",324313.074725266
